Time,Open,High,Low,Last,Change,%Chg,Volume
11/13/2020,3552.57,3593.66,3552.57,3585.15,48.14,+1.36%,0
11/12/2020,3562.67,3569.02,3518.58,3537.01,-35.65,-1.00%,0
11/11/2020,3563.22,3581.16,3557,3572.66,27.13,+0.77%,0
11/10/2020,3543.26,3557.22,3511.91,3545.53,-4.97,-0.14%,0
11/09/2020,3633.2,3644.22,3547.48,3550.5,41.06,+1.17%,0
11/06/2020,3508.34,3521.58,3484.34,3509.44,-1.01,-0.03%,0
11/05/2020,3485.74,3529.05,3485.74,3510.45,67.01,+1.95%,0
11/04/2020,3406.46,3486.25,3405.17,3443.44,74.42,+2.21%,0
11/03/2020,3336.25,3389.49,3336.25,3369.02,58.78,+1.78%,0
11/02/2020,3296.2,3330.14,3279.74,3310.24,40.28,+1.23%,0
10/30/2020,3293.59,3304.93,3233.94,3269.96,-40.15,-1.21%,0
10/29/2020,3277.17,3341.05,3259.82,3310.11,39.08,+1.19%,0
10/28/2020,3342.48,3342.48,3269.66,3271.03,-119.65,-3.53%,0
10/27/2020,3403.15,3409.51,3388.71,3390.68,-10.29,-0.30%,0
10/26/2020,3441.42,3441.42,3364.86,3400.97,-64.42,-1.86%,0
10/23/2020,3464.9,3466.46,3440.45,3465.39,11.9,+0.34%,0
10/22/2020,3438.5,3460.53,3415.34,3453.49,17.93,+0.52%,0
10/21/2020,3439.91,3464.86,3433.06,3435.56,-7.56,-0.22%,0
10/20/2020,3439.38,3476.93,3435.65,3443.12,16.2,+0.47%,0
10/19/2020,3493.66,3502.42,3419.93,3426.92,-56.89,-1.63%,0
10/16/2020,3493.5,3515.76,3480.45,3483.81,0.47,+0.01%,0
10/15/2020,3453.72,3489.08,3442.08,3483.34,-5.33,-0.15%,0
10/14/2020,3515.47,3527.94,3480.55,3488.67,-23.26,-0.66%,0
10/13/2020,3534.01,3534.01,3500.86,3511.93,-22.29,-0.63%,0
10/12/2020,3500.02,3549.85,3499.61,3534.22,57.09,+1.64%,0
10/09/2020,3459.67,3482.34,3458.07,3477.13,30.3,+0.88%,0
10/08/2020,3434.28,3447.28,3428.15,3446.83,27.38,+0.80%,0
10/07/2020,3384.56,3426.26,3384.56,3419.45,58.5,+1.74%,0
10/06/2020,3408.74,3431.56,3354.54,3360.95,-47.68,-1.40%,0
10/05/2020,3367.27,3409.57,3367.27,3408.63,60.19,+1.80%,0
10/02/2020,3338.94,3369.1,3323.69,3348.44,-32.36,-0.96%,0
10/01/2020,3385.87,3397.18,3361.39,3380.8,17.8,+0.53%,0
09/30/2020,3341.21,3393.56,3340.47,3363,27.53,+0.83%,0
09/29/2020,3350.92,3357.92,3327.54,3335.47,-16.13,-0.48%,0
09/28/2020,3333.9,3360.74,3332.91,3351.6,53.14,+1.61%,0
09/25/2020,3236.66,3306.88,3228.44,3298.46,51.87,+1.60%,0
